datetime,moist
14:26:57,495
14:27:00,502
14:27:03,483
14:27:06,487
14:27:09,470
14:27:12,503
14:27:16,499
14:27:19,505
14:27:22,506
14:27:25,500
14:27:28,462
14:27:31,455
14:27:34,484
14:27:37,491
14:27:40,495
14:27:43,519
14:27:46,559
14:27:49,523
14:27:52,504
14:27:55,517
14:27:58,477
14:28:01,492
14:28:04,498
14:28:07,538
14:28:10,537
14:28:13,507
14:28:16,468
14:28:19,493
14:28:22,525
14:28:25,533
14:28:28,493
14:28:31,519
14:28:34,510
14:28:37,483
14:28:40,519
14:28:43,524
14:28:46,502
14:28:49,514
14:28:52,485
14:28:55,545
14:28:58,495
14:29:01,479
14:29:04,539
14:29:07,505
14:29:10,466
14:29:13,494
14:29:16,515
14:29:19,440
14:29:22,497
14:29:25,550
14:29:28,510
14:29:31,492
14:29:34,546
14:29:37,501
14:29:40,481
14:29:43,496
14:29:46,520
14:29:49,548
14:29:52,509
14:29:55,503
14:29:58,496
14:30:01,536
14:30:04,559
14:30:08,514
14:30:11,492
14:30:14,490
14:30:17,493
14:30:20,515
14:30:23,512
14:30:26,460
14:30:29,488
14:30:32,547
14:30:35,494
14:30:38,492
14:30:41,519
14:30:44,506
14:30:47,504
14:30:50,477
14:30:53,497
14:30:56,549
14:30:59,495
14:31:02,493
14:31:05,524
14:31:08,499
14:31:11,461
14:31:14,501
14:31:17,537
14:31:20,493
14:31:23,492
14:31:26,535
14:31:29,507
14:31:32,453
14:31:35,500
14:31:38,514
14:31:41,486
14:31:44,507
14:31:47,518
14:31:50,435
14:31:53,505
14:31:56,505
14:31:59,480
14:32:02,494
14:32:05,529
14:32:08,485
14:32:11,512
14:32:14,509
14:32:17,493
14:32:20,545
14:32:23,520
14:32:26,487
14:32:29,554
14:32:32,486
14:32:35,481
14:32:38,571
14:32:41,505
14:32:44,492
14:32:47,488
14:32:50,494
14:32:53,566
14:32:56,506
14:32:59,490
14:33:02,490
14:33:06,493
14:33:09,562
14:33:12,501
14:33:15,439
14:33:18,496
14:33:21,543
14:33:24,510
14:33:27,504
14:33:30,484
14:33:33,446
14:33:36,489
14:33:39,489
14:33:42,510
14:33:45,551
14:33:48,509
14:33:51,506
14:33:54,491
14:33:57,530
14:34:00,504
14:34:03,516
14:34:06,493
14:34:09,509
14:34:12,428
14:34:15,534
14:34:18,494
14:34:21,496
14:34:24,504
14:34:27,489
14:34:30,537
14:34:33,476
14:34:36,545
14:34:39,481
14:34:42,507
14:34:45,495
14:34:48,491
14:34:51,507
14:34:54,490
14:34:57,513
14:35:00,484
14:35:03,556
14:35:06,486
14:35:09,491
14:35:12,501
14:35:15,491
14:35:18,507
14:35:21,459
14:35:24,525
14:35:27,480
14:35:30,481
14:35:33,539
14:35:36,499
